geo_code,name,metric_code,value,unit_code,period_start,period_end,period_label,source_url,source_table,source_page,notes
KEN-C012,Meru,IND-RENT-BURDEN,31.8,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C013,Tharaka-Nithi,IND-RENT-BURDEN,35.5,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C014,Embu,IND-RENT-BURDEN,35.8,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C015,Kitui,IND-RENT-BURDEN,33.8,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C016,Machakos,IND-RENT-BURDEN,34.6,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C017,Makueni,IND-RENT-BURDEN,27.1,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C018,Nyandarua,IND-RENT-BURDEN,46.8,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C019,Nyeri,IND-RENT-BURDEN,38.2,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C020,Kirinyaga,IND-RENT-BURDEN,29.2,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C021,Murang'a,IND-RENT-BURDEN,39.8,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C022,Kiambu,IND-RENT-BURDEN,34.9,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C023,Turkana,IND-RENT-BURDEN,27.7,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C024,West Pokot,IND-RENT-BURDEN,46.9,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C025,Samburu,IND-RENT-BURDEN,34.1,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C026,Trans Nzoia,IND-RENT-BURDEN,43.7,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C027,Uasin Gishu,IND-RENT-BURDEN,38.5,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C028,Elgeyo-Marakwet,IND-RENT-BURDEN,29.4,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C029,Nandi,IND-RENT-BURDEN,36.5,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C030,Baringo,IND-RENT-BURDEN,25.8,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C031,Laikipia,IND-RENT-BURDEN,33.8,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C032,Nakuru,IND-RENT-BURDEN,33.3,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C033,Narok,IND-RENT-BURDEN,43.2,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C034,Kajiado,IND-RENT-BURDEN,64.7,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C035,Kericho,IND-RENT-BURDEN,53.2,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C036,Bomet,IND-RENT-BURDEN,33.6,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C037,Kakamega,IND-RENT-BURDEN,42.0,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C038,Vihiga,IND-RENT-BURDEN,33.4,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C039,Bungoma,IND-RENT-BURDEN,42.8,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C040,Busia,IND-RENT-BURDEN,35.4,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C041,Siaya,IND-RENT-BURDEN,34.4,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C042,Kisumu,IND-RENT-BURDEN,43.9,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C043,Homa Bay,IND-RENT-BURDEN,24.7,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C044,Migori,IND-RENT-BURDEN,24.5,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C045,Kisii,IND-RENT-BURDEN,54.6,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C046,Nyamira,IND-RENT-BURDEN,41.4,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C047,Nairobi City,IND-RENT-BURDEN,38.0,percent,2024-01-01,2024-12-31,2024,https://www.knbs.or.ke/wp-content/uploads/2025/05/2025-Economic-Survey.pdf,Table 20.5,523,"Total-column proportion of rent to household expenditure by county; a rent-burden measure, not a synthetic cost-of-living index."
KEN-C001,Mombasa,IND-HOUSING-OWNER-OCCUPIED,24.9,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C002,Kwale,IND-HOUSING-OWNER-OCCUPIED,78.4,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C003,Kilifi,IND-HOUSING-OWNER-OCCUPIED,73.8,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C004,Tana River,IND-HOUSING-OWNER-OCCUPIED,87.5,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C005,Lamu,IND-HOUSING-OWNER-OCCUPIED,68.6,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C006,Taita/Taveta,IND-HOUSING-OWNER-OCCUPIED,71.3,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C007,Garissa,IND-HOUSING-OWNER-OCCUPIED,88.8,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C008,Wajir,IND-HOUSING-OWNER-OCCUPIED,94.3,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C009,Mandera,IND-HOUSING-OWNER-OCCUPIED,95.6,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C010,Marsabit,IND-HOUSING-OWNER-OCCUPIED,90.6,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C011,Isiolo,IND-HOUSING-OWNER-OCCUPIED,75.1,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C012,Meru,IND-HOUSING-OWNER-OCCUPIED,75.7,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C013,Tharaka-Nithi,IND-HOUSING-OWNER-OCCUPIED,86.7,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C014,Embu,IND-HOUSING-OWNER-OCCUPIED,77.4,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C015,Kitui,IND-HOUSING-OWNER-OCCUPIED,75.5,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C016,Machakos,IND-HOUSING-OWNER-OCCUPIED,70.1,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C017,Makueni,IND-HOUSING-OWNER-OCCUPIED,86.3,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C018,Nyandarua,IND-HOUSING-OWNER-OCCUPIED,69.8,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C019,Nyeri,IND-HOUSING-OWNER-OCCUPIED,68.3,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C020,Kirinyaga,IND-HOUSING-OWNER-OCCUPIED,75.5,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C021,Murang'a,IND-HOUSING-OWNER-OCCUPIED,79.3,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C022,Kiambu,IND-HOUSING-OWNER-OCCUPIED,42.8,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C023,Turkana,IND-HOUSING-OWNER-OCCUPIED,93.0,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C024,West Pokot,IND-HOUSING-OWNER-OCCUPIED,92.9,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C025,Samburu,IND-HOUSING-OWNER-OCCUPIED,86.3,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C026,Trans Nzoia,IND-HOUSING-OWNER-OCCUPIED,71.0,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C027,Uasin Gishu,IND-HOUSING-OWNER-OCCUPIED,55.8,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C028,Elgeyo-Marakwet,IND-HOUSING-OWNER-OCCUPIED,82.8,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C029,Nandi,IND-HOUSING-OWNER-OCCUPIED,83.5,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C030,Baringo,IND-HOUSING-OWNER-OCCUPIED,84.2,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C031,Laikipia,IND-HOUSING-OWNER-OCCUPIED,66.1,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C032,Nakuru,IND-HOUSING-OWNER-OCCUPIED,51.7,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C033,Narok,IND-HOUSING-OWNER-OCCUPIED,77.3,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C034,Kajiado,IND-HOUSING-OWNER-OCCUPIED,41.3,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C035,Kericho,IND-HOUSING-OWNER-OCCUPIED,80.8,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C036,Bomet,IND-HOUSING-OWNER-OCCUPIED,91.6,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C037,Kakamega,IND-HOUSING-OWNER-OCCUPIED,89.6,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C038,Vihiga,IND-HOUSING-OWNER-OCCUPIED,93.0,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C039,Bungoma,IND-HOUSING-OWNER-OCCUPIED,82.6,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C040,Busia,IND-HOUSING-OWNER-OCCUPIED,86.3,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C041,Siaya,IND-HOUSING-OWNER-OCCUPIED,90.0,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C042,Kisumu,IND-HOUSING-OWNER-OCCUPIED,61.4,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
KEN-C043,Homa Bay,IND-HOUSING-OWNER-OCCUPIED,84.2,percent,2021-01-01,2021-12-31,2021 survey,https://www.knbs.or.ke/wp-content/uploads/2024/06/Kenya-Time-Use-Survey-Report-2021.pdf,Table 3.6b,,"Percentage of households that own their main dwelling unit; tenure status is not itself a measure of affordability or wellbeing."
