reason_id,reason,source,source_url,period_label
"R011","As of 2026-09-12, Households owning a car is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its census_or_household_crosswalk treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (use exact electoral geography or defensible documented crosswalk; rates require compatible numerator and denominator; boundary mismatch must be disclosed); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://repository.knbs.or.ke/handle/knbs-ke-repo/451","ward disaggregation not yet compiled as of 2026-09-12"
"R012","As of 2026-09-12, Households owning a motorcycle is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its census_or_household_crosswalk treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (use exact electoral geography or defensible documented crosswalk; rates require compatible numerator and denominator; boundary mismatch must be disclosed); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://repository.knbs.or.ke/handle/knbs-ke-repo/451","ward disaggregation not yet compiled as of 2026-09-12"
"R013","As of 2026-09-12, Households owning their main dwelling is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its survey_small_area treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (respect survey design/domain and sampling uncertainty; small-area estimates require approved transparent method and uncertainty/confidence; never copy parent survey rates downward); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","data/life-elsewhere/README.md","ward disaggregation not yet compiled as of 2026-09-12"
"R014","As of 2026-09-12, Households receiving cash transfer or social assistance is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its survey_small_area treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (respect survey design/domain and sampling uncertainty; small-area estimates require approved transparent method and uncertainty/confidence; never copy parent survey rates downward); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://www.knbs.or.ke/reports/kdhs-2022/","ward disaggregation not yet compiled as of 2026-09-12"
"R015","As of 2026-09-12, Households with access to improved drinking-water source is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its survey_small_area treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (respect survey design/domain and sampling uncertainty; small-area estimates require approved transparent method and uncertainty/confidence; never copy parent survey rates downward); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://www.knbs.or.ke/reports/2023-24-kenya-housing-survey-basic-report/","ward disaggregation not yet compiled as of 2026-09-12"
"R016","As of 2026-09-12, Households with durable wall material is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its census_or_household_crosswalk treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (use exact electoral geography or defensible documented crosswalk; rates require compatible numerator and denominator; boundary mismatch must be disclosed); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://repository.knbs.or.ke/handle/knbs-ke-repo/451","ward disaggregation not yet compiled as of 2026-09-12"
"R017","As of 2026-09-12, Individuals using a computer is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its survey_small_area treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (respect survey design/domain and sampling uncertainty; small-area estimates require approved transparent method and uncertainty/confidence; never copy parent survey rates downward); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://www.knbs.or.ke/reports/2023-24-kenya-housing-survey-basic-report/","ward disaggregation not yet compiled as of 2026-09-12"
"R018","As of 2026-09-12, Individuals using internet is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its survey_small_area treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (respect survey design/domain and sampling uncertainty; small-area estimates require approved transparent method and uncertainty/confidence; never copy parent survey rates downward); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://www.knbs.or.ke/reports/2023-24-kenya-housing-survey-basic-report/","ward disaggregation not yet compiled as of 2026-09-12"
"R019","As of 2026-09-12, Labour-force participation rate, age 15–64 is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its survey_small_area treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (respect survey design/domain and sampling uncertainty; small-area estimates require approved transparent method and uncertainty/confidence; never copy parent survey rates downward); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","data/life-elsewhere/README.md","ward disaggregation not yet compiled as of 2026-09-12"
"R020","As of 2026-09-12, Manufacturing gross value added is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its economic_accounts_small_area treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (local economic definition must match the canonical accounting concept; model must be transparent, validated and clearly labelled; no population/land/equal-share parent allocation presented as observed output); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://www.knbs.or.ke/wp-content/uploads/2025/12/2025-Gross-County-Product.pdf","ward disaggregation not yet compiled as of 2026-09-12"
"R021","As of 2026-09-12, Manufacturing share of GCP is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its economic_accounts_small_area treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (local economic definition must match the canonical accounting concept; model must be transparent, validated and clearly labelled; no population/land/equal-share parent allocation presented as observed output); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://www.knbs.or.ke/wp-content/uploads/2025/12/2025-Gross-County-Product.pdf","ward disaggregation not yet compiled as of 2026-09-12"
"R022","As of 2026-09-12, Overall poverty headcount rate is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its survey_small_area treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (respect survey design/domain and sampling uncertainty; small-area estimates require approved transparent method and uncertainty/confidence; never copy parent survey rates downward); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://www.knbs.or.ke/wp-content/uploads/2024/10/The-Kenya-Poverty-Report-2022.pdf","ward disaggregation not yet compiled as of 2026-09-12"
"R023","As of 2026-09-12, Population age 3+ at school or learning institution is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its census_or_household_crosswalk treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (use exact electoral geography or defensible documented crosswalk; rates require compatible numerator and denominator; boundary mismatch must be disclosed); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","data/life-elsewhere/README.md","ward disaggregation not yet compiled as of 2026-09-12"
"R024","As of 2026-09-12, Population, 2009 census is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its census_or_household_crosswalk treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (use exact electoral geography or defensible documented crosswalk; rates require compatible numerator and denominator; boundary mismatch must be disclosed); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://www.knbs.or.ke/2019-kenya-population-and-housing-census-results/","ward disaggregation not yet compiled as of 2026-09-12"
"R025","As of 2026-09-12, Primary classroom teachers is compiled by MoE only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its education_admin_aggregate treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (institution records must be deduplicated and period-aligned; teacher/school definitions remain stable; spatial allocation based on geocoded institutions must disclose coverage); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","MoE","https://www.education.go.ke/sites/default/files/2023-08/B5%20REPORT%20OF%20THE%20PRESIDENTIAL%20WORKING%20PARTY%20ON%20EDUCATION%20REFORM%207th%20JULY%202023%20.pdf","ward disaggregation not yet compiled as of 2026-09-12"
"R026","As of 2026-09-12, Public primary schools is compiled by MoE only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its education_admin_aggregate treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (institution records must be deduplicated and period-aligned; teacher/school definitions remain stable; spatial allocation based on geocoded institutions must disclose coverage); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","MoE","https://www.education.go.ke/sites/default/files/2023-08/B5%20REPORT%20OF%20THE%20PRESIDENTIAL%20WORKING%20PARTY%20ON%20EDUCATION%20REFORM%207th%20JULY%202023%20.pdf","ward disaggregation not yet compiled as of 2026-09-12"
"R027","As of 2026-09-12, Public secondary schools is compiled by MoE only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its education_admin_aggregate treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (institution records must be deduplicated and period-aligned; teacher/school definitions remain stable; spatial allocation based on geocoded institutions must disclose coverage); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","MoE","https://www.education.go.ke/sites/default/files/2023-08/B5%20REPORT%20OF%20THE%20PRESIDENTIAL%20WORKING%20PARTY%20ON%20EDUCATION%20REFORM%207th%20JULY%202023%20.pdf","ward disaggregation not yet compiled as of 2026-09-12"
"R028","As of 2026-09-12, Rent as a share of household expenditure is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its survey_small_area treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (respect survey design/domain and sampling uncertainty; small-area estimates require approved transparent method and uncertainty/confidence; never copy parent survey rates downward); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","data/life-elsewhere/README.md","ward disaggregation not yet compiled as of 2026-09-12"
"R029","As of 2026-09-12, Secondary teachers is compiled by MoE only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its education_admin_aggregate treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (institution records must be deduplicated and period-aligned; teacher/school definitions remain stable; spatial allocation based on geocoded institutions must disclose coverage); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","MoE","https://www.education.go.ke/sites/default/files/2023-08/B5%20REPORT%20OF%20THE%20PRESIDENTIAL%20WORKING%20PARTY%20ON%20EDUCATION%20REFORM%207th%20JULY%202023%20.pdf","ward disaggregation not yet compiled as of 2026-09-12"
"R030","As of 2026-09-12, Super Petrol pump price is compiled by EPRA only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its dynamic_location_price treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (location coverage and effective dates explicit; representative-town value cannot be silently described as a geography average; interpolation/modelled coverage must be visibly estimated); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","EPRA","https://www.epra.go.ke/pump-price-formulae","ward disaggregation not yet compiled as of 2026-09-12"
"R031","As of 2026-09-12, Women age 15–49 literacy rate is compiled by KNBS only at county level; the canonical registry (data/indicators/registry/series.json) carries zero active series for this indicator at any of the 1450 ward geographies today -- this is a checkable fact re-verified on every rebuild of this ledger, not an assertion about any single ward. Under its survey_small_area treatment class, a resolved local value would require a direct local record, an exact aggregation, or a transparently labelled modelled/spatial estimate (respect survey design/domain and sampling uncertainty; small-area estimates require approved transparent method and uncertainty/confidence; never copy parent survey rates downward); parent county values are never spatially allocated or copied downward to manufacture a ward figure. This cell is closed as governed_unavailable pending genuine ward-level source compilation under P32 (ward completion).","KNBS","https://dhsprogram.com/pubs/pdf/FR380/FR380erratum.pdf","ward disaggregation not yet compiled as of 2026-09-12"
"R032","As with the Disability analytical report, the Analytical Report on Labour Force is a thematic cross-tabulation of one census theme (labour-force status) rather than a basic population-count tabulation, with its own independently-scoped table plan. Its own 'List of Tables' (report p. iv) was downloaded and inspected directly: across all ~55 numbered tables (Tables 1.1 through 5.1) and appendices B1-B3, every geographic breakdown used is 'County' and/or 'Residence' (urban/rural) -- e.g. Table 2.8 'Distribution of Economically Active Population by Residence, County and Sex' (p.25), Table 2.10 'Distribution of Not in Labour Force Population by Sex, Residence and County' (p.28), Table 3.9 'Employment to Population Ratio by Sex, Residence and County' (p.45), and Table 3.19 'Labour Force Participation Rates for Population Age 15-64 Years by County, Residence and Sex' (p.59 -- the table this indicator's county-level observations are drawn from). No table anywhere in the report, including the appendices, is broken out by sub-county, constituency or ward. As with disability, the 2019 census was a 100% enumeration, so the constraint is a genuine gap in published tabulation scope rather than sampling precision; re-tabulating from unpublished census microdata is outside what this Atlas can do.","KNBS 2019 KPHC Analytical Report on Labour Force, List of Tables (p. iv) and Table 3.19 (p.59)","https://www.knbs.or.ke/wp-content/uploads/2023/09/2019-Kenya-population-and-Housing-Census-Analytical-Report-on-Labour-Force.pdf","2019 KPHC Analytical Report on Labour Force · no sub-county table published for this theme"
"R033","County Executive audit opinion is an institutional_county_only indicator under data/policy/local-54-indicator-contract.json: a county government's own budget/audit/fiscal account has no constituency-level institutional referent, so it ""never spatially allocate[s] county-government accounts"" (that document's own condition). Per the same document, ""constituency and ward default to not_applicable unless a distinct local institutional measure with a different indicator definition is created"" -- no such distinct measure exists yet, so this cell is not_applicable rather than governed_unavailable.","data/policy/local-54-indicator-contract.json","https://github.com/dansamuka/kenya-data-atlas/blob/main/data/policy/local-54-indicator-contract.json","constituency disposition, institutional_county_only treatment class"
"R034","County Executive audit opinion is an institutional_county_only indicator under data/policy/local-54-indicator-contract.json: a county government's own budget/audit/fiscal account has no ward-level institutional referent, so it ""never spatially allocate[s] county-government accounts"" (that document's own condition). Per the same document, ""constituency and ward default to not_applicable unless a distinct local institutional measure with a different indicator definition is created"" -- no such distinct measure exists yet, so this cell is not_applicable rather than governed_unavailable.","data/policy/local-54-indicator-contract.json","https://github.com/dansamuka/kenya-data-atlas/blob/main/data/policy/local-54-indicator-contract.json","ward disposition, institutional_county_only treatment class"
"R035","County budget absorption rate is an institutional_county_only indicator under data/policy/local-54-indicator-contract.json: a county government's own budget/audit/fiscal account has no constituency-level institutional referent, so it ""never spatially allocate[s] county-government accounts"" (that document's own condition). Per the same document, ""constituency and ward default to not_applicable unless a distinct local institutional measure with a different indicator definition is created"" -- no such distinct measure exists yet, so this cell is not_applicable rather than governed_unavailable.","data/policy/local-54-indicator-contract.json","https://github.com/dansamuka/kenya-data-atlas/blob/main/data/policy/local-54-indicator-contract.json","constituency disposition, institutional_county_only treatment class"
"R036","County budget absorption rate is an institutional_county_only indicator under data/policy/local-54-indicator-contract.json: a county government's own budget/audit/fiscal account has no ward-level institutional referent, so it ""never spatially allocate[s] county-government accounts"" (that document's own condition). Per the same document, ""constituency and ward default to not_applicable unless a distinct local institutional measure with a different indicator definition is created"" -- no such distinct measure exists yet, so this cell is not_applicable rather than governed_unavailable.","data/policy/local-54-indicator-contract.json","https://github.com/dansamuka/kenya-data-atlas/blob/main/data/policy/local-54-indicator-contract.json","ward disposition, institutional_county_only treatment class"
"R037","County budget is an institutional_county_only indicator under data/policy/local-54-indicator-contract.json: a county government's own budget/audit/fiscal account has no constituency-level institutional referent, so it ""never spatially allocate[s] county-government accounts"" (that document's own condition). Per the same document, ""constituency and ward default to not_applicable unless a distinct local institutional measure with a different indicator definition is created"" -- no such distinct measure exists yet, so this cell is not_applicable rather than governed_unavailable.","data/policy/local-54-indicator-contract.json","https://github.com/dansamuka/kenya-data-atlas/blob/main/data/policy/local-54-indicator-contract.json","constituency disposition, institutional_county_only treatment class"
"R038","County budget is an institutional_county_only indicator under data/policy/local-54-indicator-contract.json: a county government's own budget/audit/fiscal account has no ward-level institutional referent, so it ""never spatially allocate[s] county-government accounts"" (that document's own condition). Per the same document, ""constituency and ward default to not_applicable unless a distinct local institutional measure with a different indicator definition is created"" -- no such distinct measure exists yet, so this cell is not_applicable rather than governed_unavailable.","data/policy/local-54-indicator-contract.json","https://github.com/dansamuka/kenya-data-atlas/blob/main/data/policy/local-54-indicator-contract.json","ward disposition, institutional_county_only treatment class"
"R039","County expenditure is an institutional_county_only indicator under data/policy/local-54-indicator-contract.json: a county government's own budget/audit/fiscal account has no constituency-level institutional referent, so it ""never spatially allocate[s] county-government accounts"" (that document's own condition). Per the same document, ""constituency and ward default to not_applicable unless a distinct local institutional measure with a different indicator definition is created"" -- no such distinct measure exists yet, so this cell is not_applicable rather than governed_unavailable.","data/policy/local-54-indicator-contract.json","https://github.com/dansamuka/kenya-data-atlas/blob/main/data/policy/local-54-indicator-contract.json","constituency disposition, institutional_county_only treatment class"
