indicator_id,indicator_code,name,short_name,description,topic,subtopic,unit_id,higher_is_better,preferred_frequency,minimum_geo_level,minimum_denominator,methodology_url,comparable,active,ranking_allowed,requires_sampling_uncertainty,lifecycle_status,expected_source,expected_source_url,expected_availability_note,tab,applies_to_levels,applies_to_geography_subset,worldbank_code,composite_disclosure
"95abc4d0-dafc-5c5a-aa12-8e63cdcbe866","IND-GDP-NATIONAL","GDP (current US$)","GDP","Kenya gross domestic product in current US dollars, harmonised by the World Bank.","Economy","National accounts","f69ebbd6-3aef-59c4-b7dd-f49eb2c99d69","","annual","country","","https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=KE","National-only WDI series; never inherit to a subnational geography.","economy","","","NY.GDP.MKTP.CD",""
"71642150-62fc-59ee-805e-4f18399841b8","IND-GDP-PER-CAPITA-NATIONAL","GDP per capita (current US$)","GDP per capita","Kenya GDP per person in current US dollars, harmonised by the World Bank.","Economy","National accounts","f53cce64-4a0b-55d9-ab82-77787d376297","","annual","country","","https://data.worldbank.org/indicator/NY.GDP.PCAP.CD?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/NY.GDP.PCAP.CD?locations=KE","National-only WDI series; never inherit to a subnational geography.","economy","","","NY.GDP.PCAP.CD",""
"cc78b795-f548-5a5f-bf6a-549fe749aa7e","IND-GDP-GROWTH","GDP growth (annual %)","GDP growth","Annual percentage growth rate of GDP at market prices based on constant local currency.","Economy","National accounts","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=KE","National-only WDI series; never inherit to a subnational geography.","economy","","","NY.GDP.MKTP.KD.ZG",""
"c0aaaf91-8bb2-5064-9b76-5c37c8d1cd42","IND-LIFE-EXPECTANCY","Life expectancy at birth","Life expectancy","Life expectancy at birth in years, harmonised by the World Bank.","Social","Health outcomes","e0d1cd62-62cd-51c5-9ff8-06f51401fad5","","annual","country","","https://data.worldbank.org/indicator/SP.DYN.LE00.IN?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/SP.DYN.LE00.IN?locations=KE","National-only WDI series; never inherit to a subnational geography.","people","","","SP.DYN.LE00.IN",""
"233dc7ee-d7f3-5fd5-b1f9-c2ea2a4fafca","IND-POPULATION-WB","Population, total — UN projection via World Bank","Population projection","National population estimate/projection published by the World Bank using UN Population Division data; not a census enumeration.","Social","Population","3add048e-c42d-5b05-994c-dad9c6812cc4","","annual","country","","https://data.worldbank.org/indicator/SP.POP.TOTL?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/SP.POP.TOTL?locations=KE","National-only WDI series; never inherit to a subnational geography.","people","","","SP.POP.TOTL",""
"ac870f6f-35f5-5e02-b733-58303637d6b5","IND-POPULATION-GROWTH","Population growth (annual %)","Population growth","Annual population growth rate based on the World Bank/UN harmonised population series.","Social","Population","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/SP.POP.GROW?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/SP.POP.GROW?locations=KE","National-only WDI series; never inherit to a subnational geography.","people","","","SP.POP.GROW",""
"67c7b4f9-2c17-57a5-8e3b-6d5618f27ba6","IND-NET-MIGRATION","Net migration","Net migration","Net number of migrants over the reference period from the harmonised World Bank series.","Social","Migration","3add048e-c42d-5b05-994c-dad9c6812cc4","","annual","country","","https://data.worldbank.org/indicator/SM.POP.NETM?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/SM.POP.NETM?locations=KE","National-only WDI series; never inherit to a subnational geography.","people","","","SM.POP.NETM",""
"18dcd3d0-d5eb-502f-b636-f46257adea50","IND-HUMAN-CAPITAL-INDEX","Human Capital Index (overall)","Human Capital Index","World Bank composite Human Capital Index. This is a compiled index, not a raw statistic.","Social","Human capital","04b90096-6bfb-521e-957b-e8b0f4cf1988","","annual","country","","https://data.worldbank.org/indicator/HD.HCI.OVRL?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/HD.HCI.OVRL?locations=KE","National-only WDI series; never inherit to a subnational geography.","people","","","HD.HCI.OVRL","Compiled/modelled index; not a raw statistic."
"794869be-7976-583b-88db-2309610f4b21","IND-POVERTY-RATE-INTL","Poverty headcount ratio at $3.00/day (2021 PPP)","International poverty rate","Share of the population below the World Bank $3.00/day international poverty line in 2021 PPP terms. Not interchangeable with Kenya's domestic poverty line.","Social","Poverty","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/SI.POV.DDAY?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/SI.POV.DDAY?locations=KE","National-only WDI series; never inherit to a subnational geography.","people","","","SI.POV.DDAY",""
"70f766cf-e6ff-54bc-9a07-af4a7e031330","IND-UNEMPLOYMENT-MODELLED","Unemployment, total (modeled ILO estimate)","Unemployment (modeled ILO)","Modeled ILO estimate of unemployment as a share of the total labour force, published through World Bank WDI.","Economy","Labour market","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS?locations=KE","National-only WDI series; never inherit to a subnational geography.","economy","","","SL.UEM.TOTL.ZS",""
"f994d695-7f05-565e-b4db-3796e8677dfe","IND-CPI-INFLATION-WB-ANNUAL","Inflation, consumer prices (annual %)","WB annual inflation","Annual World Bank harmonised consumer price inflation. The Atlas's monthly KNBS series remains the headline inflation series.","Economy","Prices","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/FP.CPI.TOTL.ZG?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/FP.CPI.TOTL.ZG?locations=KE","National-only WDI series; never inherit to a subnational geography.","economy","","","FP.CPI.TOTL.ZG",""
"7afe5ded-e2f9-5431-b638-0f4c48dbcefb","IND-REMITTANCES-GDP","Personal remittances received (% of GDP)","Remittances (% GDP)","Personal remittances received as a share of GDP. Kept sourced-only while a CBK-primary-source treatment is designed.","Economy","External sector","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/BX.TRF.PWKR.DT.GD.ZS?locations=KE","true","false","true","false","sourced","World Bank — World Development Indicators","https://data.worldbank.org/indicator/BX.TRF.PWKR.DT.GD.ZS?locations=KE","CBK publishes the underlying monthly remittance inflows directly; do not finalize a secondary-source headline before primary-source derivation is designed.","economy","","","BX.TRF.PWKR.DT.GD.ZS",""
"f75b59ff-9d49-5b18-8e13-35022b67fa2a","IND-FOREST-AREA","Forest area (% of land area)","Forest area","Forest area as a percentage of land area, harmonised by the World Bank.","Environment","Forests","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/AG.LND.FRST.ZS?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/AG.LND.FRST.ZS?locations=KE","National-only WDI series; never inherit to a subnational geography.","infrastructure","","","AG.LND.FRST.ZS",""
"b295ecc5-1160-569c-a4d7-0e263f642bae","IND-CO2-PER-CAPITA","CO2 emissions per capita (excl. LULUCF)","CO2 per capita","Carbon dioxide emissions per person excluding land-use, land-use change and forestry, harmonised by the World Bank.","Environment","Emissions","2c20ee7c-243a-5104-b8d7-79f8590eff06","","annual","country","","https://data.worldbank.org/indicator/EN.GHG.CO2.PC.CE.AR5?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/EN.GHG.CO2.PC.CE.AR5?locations=KE","National-only WDI series; never inherit to a subnational geography.","infrastructure","","","EN.GHG.CO2.PC.CE.AR5",""
"03ace30c-96b7-5007-ad4e-d5e1223ddfaf","IND-FRESHWATER-WITHDRAWAL","Freshwater withdrawals (% of internal resources)","Freshwater withdrawals","Annual freshwater withdrawals as a share of total internal renewable water resources; distinct from household water access.","Environment","Water stress","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/ER.H2O.FWTL.ZS?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/ER.H2O.FWTL.ZS?locations=KE","National-only WDI series; never inherit to a subnational geography.","infrastructure","","","ER.H2O.FWTL.ZS",""
"fddbcd02-c9ae-5361-8bba-91b402f9e1d4","IND-RENEWABLE-ELECTRICITY","Renewable electricity share, excluding hydro","Renewable electricity","Share of electricity output from renewable sources excluding hydroelectric power.","Environment","Energy","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/EG.ELC.RNWX.ZS?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/EG.ELC.RNWX.ZS?locations=KE","National-only WDI series; never inherit to a subnational geography.","infrastructure","","","EG.ELC.RNWX.ZS",""
"04d3f77a-db98-5e6d-9e35-2a7a6a5a402c","IND-SAFE-SANITATION","Safely managed sanitation services (% of population)","Safely managed sanitation","Share of the population using safely managed sanitation services.","Environment","Sanitation","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/SH.STA.SMSS.ZS?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/SH.STA.SMSS.ZS?locations=KE","National-only WDI series; never inherit to a subnational geography.","infrastructure","","","SH.STA.SMSS.ZS",""
"ee6be025-22fa-5dd4-87d1-268441789a34","IND-INTERNET-USERS-WB","Individuals using the Internet (% of population)","Internet users","Share of individuals using the Internet, published through World Bank WDI. Link to a Communications Authority series only after a CA series is actually ingested.","Institutions","Digital access","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/IT.NET.USER.ZS?locations=KE","National-only WDI series; never inherit to a subnational geography.","infrastructure","","","IT.NET.USER.ZS",""
"5b90749a-78e1-50d8-ae4d-e7fd77abd73d","IND-HOMICIDE-RATE","Intentional homicides (per 100,000 people)","Homicide rate","Intentional homicides per 100,000 people, harmonised for international comparability.","Institutions","Public safety","54fe9ccc-1a14-5704-b5f8-ea50e599dfae","","annual","country","","https://data.worldbank.org/indicator/VC.IHR.PSRC.P5?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/VC.IHR.PSRC.P5?locations=KE","National-only WDI series; never inherit to a subnational geography.","people","","","VC.IHR.PSRC.P5",""
"548ffd52-0d6b-5aeb-8be9-8a0c77321dee","IND-WOMEN-PARLIAMENT-SEATS","Seats held by women in national parliament (%)","Women in parliament","Share of seats in the national parliament held by women.","Institutions","Representation","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/SG.GEN.PARL.ZS?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/SG.GEN.PARL.ZS?locations=KE","National-only WDI series; never inherit to a subnational geography.","representation","","","SG.GEN.PARL.ZS",""
"0e494d68-338f-5345-8386-5b84c9dbd644","IND-FDI-NET-INFLOWS","Foreign direct investment, net inflows (% of GDP)","FDI net inflows","Foreign direct investment net inflows as a share of GDP.","Institutions","Investment","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","country","","https://data.worldbank.org/indicator/BX.KLT.DINV.WD.GD.ZS?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/BX.KLT.DINV.WD.GD.ZS?locations=KE","National-only WDI series; never inherit to a subnational geography.","economy","","","BX.KLT.DINV.WD.GD.ZS",""
"673d0158-9672-54af-bd98-f7e684c3da7f","IND-GINI-WB","GINI index","GINI index","GINI index from the World Bank WDI series; reference year is always displayed because the series can be stale or irregular.","Social","Inequality","04b90096-6bfb-521e-957b-e8b0f4cf1988","","annual","country","","https://data.worldbank.org/indicator/SI.POV.GINI?locations=KE","true","true","true","false","active","World Bank — World Development Indicators","https://data.worldbank.org/indicator/SI.POV.GINI?locations=KE","National-only WDI series; never inherit to a subnational geography.","people","","","SI.POV.GINI",""
"3959d5c5-6488-5206-a317-a193990f5576","IND-POVERTY-RATE","Overall poverty headcount rate","Poverty rate","Share of individuals below Kenya’s overall poverty line in the 2022 Kenya Poverty Report.","Living Standards","Poverty","09db3d3a-c7b1-51f3-9909-d94d80106e82","false","periodic","county","","https://www.knbs.or.ke/wp-content/uploads/2024/10/The-Kenya-Poverty-Report-2022.pdf","true","true","false","true","active","KNBS Kenya Poverty Report 2022","https://www.knbs.or.ke/reports/kenya-poverty-report-2022/","County survey estimate; sampling uncertainty required when activated.","people","county","","",""
"b9e180f3-a7df-53f8-9103-d2af018d3cb1","IND-STUNTING-RATE","Children under 5 stunted","Stunting","Share of children under age 5 whose height-for-age is below minus two standard deviations from the WHO Child Growth Standards median.","Health","Child nutrition","09db3d3a-c7b1-51f3-9909-d94d80106e82","false","periodic","county","","https://dhsprogram.com/pubs/pdf/FR380/FR380.pdf","true","true","false","true","active","KDHS 2022","https://www.knbs.or.ke/reports/kdhs-2022/","Sample survey; confidence interval/SE/sample size required when active.","health","county","","",""
"26862ecb-982b-5606-9421-2034cc05b094","IND-IMMUNIZATION-RATE","Children 12–23 months fully vaccinated with basic antigens","Basic immunisation","Share of children age 12–23 months who received all basic antigens as defined in KDHS 2022 Table 10.4C.","Health","Child health","09db3d3a-c7b1-51f3-9909-d94d80106e82","true","periodic","county","","https://dhsprogram.com/pubs/pdf/FR380/FR380.pdf","true","true","false","true","active","KDHS 2022","https://www.knbs.or.ke/reports/kdhs-2022/","Sample survey; confidence interval/SE/sample size required when active.","health","county","","",""
"27bef8e0-474e-5f30-b07c-42524a1957a6","IND-MATERNAL-HEALTH","Skilled birth attendance","Skilled birth attendance","Share of live births in the two years before KDHS 2022 assisted by a skilled provider (doctor, nurse, midwife or clinical officer).","Health","Maternal health","09db3d3a-c7b1-51f3-9909-d94d80106e82","true","periodic","county","","https://dhsprogram.com/pubs/pdf/FR380/FR380.pdf","true","true","false","true","active","KDHS 2022","https://www.knbs.or.ke/reports/kdhs-2022/","Sample survey; confidence interval/SE/sample size required when active.","health","county","","",""
"50795c10-8396-50ed-a1fa-54ff08b3426c","IND-HEALTH-FACILITY-COUNT","Health facilities assessed in the 2023 Health Facility Census","Health facilities assessed","Count of health facilities assessed in each county in the 2023 Ministry of Health Health Facility Census.","Health","Health infrastructure","2b7566ee-fd7f-510a-90da-d0b4f60268c7","","one_off","county","","https://www.health.go.ke/sites/default/files/2024-01/Kenya%20Health%20Facility%20Census%20Report%20September%202023.pdf","true","true","false","false","active","Kenya Master Health Facility Registry (KMHFR)","https://kmhfr.health.go.ke/public/facilities","Official registry; profile count is derived from registered facility records.","health","county","","",""
"b5276fa5-1996-5dfd-8070-8235a51b3a1c","IND-PUBLIC-PRIMARY-SCHOOLS","Public primary schools","Public primary schools","Count of public primary school establishments in the TSC 2023 county table.","Education","School infrastructure","2b7566ee-fd7f-510a-90da-d0b4f60268c7","","periodic","county","","https://www.education.go.ke/sites/default/files/2023-08/B5%20REPORT%20OF%20THE%20PRESIDENTIAL%20WORKING%20PARTY%20ON%20EDUCATION%20REFORM%207th%20JULY%202023%20.pdf","true","true","false","false","active","","","","economy","","","",""
"5d1cda83-fe83-5c5c-90a9-b9002024b52e","IND-PRIMARY-CLASSROOM-TEACHERS","Primary classroom teachers","Primary teachers","TSC 2023 classroom-teacher establishment in public primary schools.","Education","Teachers","2b7566ee-fd7f-510a-90da-d0b4f60268c7","","periodic","county","","https://www.education.go.ke/sites/default/files/2023-08/B5%20REPORT%20OF%20THE%20PRESIDENTIAL%20WORKING%20PARTY%20ON%20EDUCATION%20REFORM%207th%20JULY%202023%20.pdf","true","true","false","false","active","","","","economy","","","",""
"fac141f5-178d-5bb9-a5f4-76451539beb6","IND-PUBLIC-SECONDARY-SCHOOLS","Public secondary schools","Public secondary schools","Count of public secondary school establishments in the TSC 2023 county table.","Education","School infrastructure","2b7566ee-fd7f-510a-90da-d0b4f60268c7","","periodic","county","","https://www.education.go.ke/sites/default/files/2023-08/B5%20REPORT%20OF%20THE%20PRESIDENTIAL%20WORKING%20PARTY%20ON%20EDUCATION%20REFORM%207th%20JULY%202023%20.pdf","true","true","false","false","active","","","","economy","","","",""
"d2408a91-ad8a-5d3f-bb46-fe287d18fe02","IND-SECONDARY-TEACHERS","Secondary teachers","Secondary teachers","TSC 2023 teacher establishment in public secondary schools.","Education","Teachers","2b7566ee-fd7f-510a-90da-d0b4f60268c7","","periodic","county","","https://www.education.go.ke/sites/default/files/2023-08/B5%20REPORT%20OF%20THE%20PRESIDENTIAL%20WORKING%20PARTY%20ON%20EDUCATION%20REFORM%207th%20JULY%202023%20.pdf","true","true","false","false","active","","","","economy","","","",""
"763c22d1-d14b-5718-9040-6f7c34cc6fa4","IND-AGRICULTURE-GVA","Agriculture gross value added","Agriculture GVA","Agriculture, forestry and fishing gross value added at current prices in 2024.","Economy","Economic structure","5861b255-10c3-53f8-a3a2-96aa4bd4e3fb","","annual","county","","https://www.knbs.or.ke/wp-content/uploads/2025/12/2025-Gross-County-Product.pdf","true","true","false","false","active","","","","economy","","","",""
"869fe130-e804-5834-a3b6-194f12777bc8","IND-MANUFACTURING-GVA","Manufacturing gross value added","Manufacturing GVA","Manufacturing gross value added at current prices in 2024.","Economy","Economic structure","5861b255-10c3-53f8-a3a2-96aa4bd4e3fb","","annual","county","","https://www.knbs.or.ke/wp-content/uploads/2025/12/2025-Gross-County-Product.pdf","true","true","false","false","active","","","","economy","","","",""
"ccf4d087-9d49-524e-921a-ea91a87abe0d","IND-AGRICULTURE-GCP-SHARE","Agriculture share of GCP","Agriculture share","Agriculture, forestry and fishing gross value added as a share of 2024 Gross County Product.","Economy","Economic structure","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","county","","https://www.knbs.or.ke/wp-content/uploads/2025/12/2025-Gross-County-Product.pdf","true","true","false","false","active","","","","economy","","","",""
"57c7c4ae-c45e-5084-9410-e2190784f75b","IND-MANUFACTURING-GCP-SHARE","Manufacturing share of GCP","Manufacturing share","Manufacturing gross value added as a share of 2024 Gross County Product.","Economy","Economic structure","09db3d3a-c7b1-51f3-9909-d94d80106e82","","annual","county","","https://www.knbs.or.ke/wp-content/uploads/2025/12/2025-Gross-County-Product.pdf","true","true","false","false","active","","","","economy","","","",""
"6a6afa7d-e28a-5888-b810-279a8217d99a","IND-MAIZE-AREA","Maize area","Maize area","Area under maize reported for 2023.","Agriculture","Crop production","c29ad2b5-6600-5015-a501-ffcd28458740","","annual","county","","https://www.knbs.or.ke/wp-content/uploads/2025/01/National-Agriculture-Production-Report-2024.pdf","true","true","false","false","active","","","","economy","","","",""
"3c34f402-090e-5684-ab95-66aa5beb385c","IND-MAIZE-PRODUCTION","Maize production","Maize production","Maize production reported for 2023.","Agriculture","Crop production","d6785a41-d89d-575d-9608-b72b9896df7b","","annual","county","","https://www.knbs.or.ke/wp-content/uploads/2025/01/National-Agriculture-Production-Report-2024.pdf","true","true","false","false","active","","","","economy","","","",""
"25dd195f-ad19-5e9f-8f13-eaa8b87b9882","IND-MAIZE-YIELD","Maize yield","Maize yield","Tonnes of maize production per reported hectare in 2023, calculated by the Atlas from the two fields in the same official county row.","Agriculture","Crop productivity","0ea5caca-cb59-50ef-ab8c-d2628e192d70","true","annual","county","","https://www.knbs.or.ke/wp-content/uploads/2025/01/National-Agriculture-Production-Report-2024.pdf","true","true","false","false","active","","","","economy","","","",""
"734ac03a-73e8-5ce2-950c-796ebf08c746","IND-INTERNET-USE","Individuals using internet","Internet use","Share of individuals aged 3 years and above who used the internet in the 2023/24 Kenya Housing Survey.","Infrastructure","Digital connectivity","09db3d3a-c7b1-51f3-9909-d94d80106e82","true","periodic","county","","https://www.knbs.or.ke/reports/2023-24-kenya-housing-survey-basic-report/","true","true","false","false","active","","","","economy","","","",""
"a161d10e-e7bb-53fa-9205-275a16baf375","IND-COMPUTER-USE","Individuals using a computer","Computer use","Share of individuals aged 3 years and above who used a computer in the 2023/24 Kenya Housing Survey.","Infrastructure","Digital connectivity","09db3d3a-c7b1-51f3-9909-d94d80106e82","true","periodic","county","","https://www.knbs.or.ke/reports/2023-24-kenya-housing-survey-basic-report/","true","true","false","false","active","","","","economy","","","",""
"ac129467-c911-51a8-aeed-13d80b65028e","IND-MAIN-GRID-ELECTRICITY","Households connected to main-grid electricity","Main-grid electricity","Share of households connected to electricity on the main grid in the 2023/24 Kenya Housing Survey.","Infrastructure","Electricity access","09db3d3a-c7b1-51f3-9909-d94d80106e82","true","periodic","county","","https://www.knbs.or.ke/reports/2023-24-kenya-housing-survey-basic-report/","true","true","false","false","active","","","","economy","","","",""
"d61be01a-2b7f-51b2-8320-24a40ad05e88","IND-GCP-CURRENT","Gross County Product (current prices)","GCP","Gross County Product at current prices. 2024 is preliminary.","Economy","County economy","5861b255-10c3-53f8-a3a2-96aa4bd4e3fb","","annual","county","","data/sprint1/README.md","true","true","true","false","active","","","","economy","county","","",""
"c8e46a32-d1bb-50a4-828d-ee18062860bb","IND-COUNTY-BUDGET-TOTAL","County budget","County budget","Total county budget for the fiscal year.","Public Finance","County budgets","5861b255-10c3-53f8-a3a2-96aa4bd4e3fb","","annual","county","","data/sprint1/README.md","true","true","true","false","active","","","","finance","county","","",""
"845c6147-d18b-533d-892e-a268571c627d","IND-COUNTY-EXPENDITURE-TOTAL","County expenditure","County expenditure","Total county government expenditure for the fiscal year.","Public Finance","County budgets","5861b255-10c3-53f8-a3a2-96aa4bd4e3fb","","annual","county","","data/sprint1/README.md","true","true","true","false","active","","","","finance","county","","",""
"2aaa3771-13ca-50ca-84b5-f207e462fb6c","IND-COUNTY-BUDGET-ABSORPTION","County budget absorption rate","Budget absorption","Total expenditure as a percentage of the county budget.","Public Finance","County budgets","09db3d3a-c7b1-51f3-9909-d94d80106e82","true","annual","county","","data/sprint1/README.md","true","true","true","false","active","","","","finance","county","","",""
"ccae0924-1eb2-59ed-8e29-4f89505bc578","IND-COUNTY-DEVELOPMENT-ABSORPTION","Development budget absorption rate","Development absorption","Development expenditure as a percentage of the development budget.","Public Finance","County budgets","09db3d3a-c7b1-51f3-9909-d94d80106e82","true","annual","county","","data/sprint1/README.md","true","true","true","false","active","","","","finance","county","","",""
"f8b86182-ba8e-5ea5-81f5-017bc0ac3dcd","IND-USD-KES-MONTHLY-AVG","USD/KES monthly period-average exchange rate","USD/KES monthly average","Monthly period-average Kenya shillings per US dollar published by CBK.","Economy","Exchange rates","a2522f73-34eb-5b5e-a1d4-383888213b20","","monthly","country","","data/sprint3/README.md","true","true","true","false","active","","","","economy","","","",""
